Player x,Player o,
17,47,
20,44,
16,48,
18,46,
23,41,
22,42,
27,37,
13,51,
27,37,
21,43,
14,50,
24,40,
13,51,
14,50,
18,46,
19,45,
23,41,
19,45,
17,47,
25,39,
14,50,
21,43,
26,38,
19,45,
25,39,
20,44,
24,40,
19,45,
8,56,
20,44,
11,53,
20,44,
19,45,
20,44,
33,31,
20,44,
18,46,
12,52,
23,41,
23,41,
24,40,
29,35,
28,36,
31,33,
16,48,
19,45,
22,42,
24,40,
14,50,
26,38,
24,40,
22,42,
20,44,
29,35,
20,44,
25,39,
21,43,
19,45,
25,39,
18,46,
16,48,
23,41,
17,47,
16,48,
13,51,
10,54,
21,43,
27,37,
34,30,
29,35,
21,43,
17,47,
20,44,
14,50,
26,38,
21,43,
13,51,
21,43,
24,40,
18,46,
19,45,
20,44,
13,51,
19,45,
27,37,
19,45,
12,52,
18,46,
31,33,
13,51,
15,49,
17,47,
24,40,
19,45,
20,44,
20,44,
23,41,
22,42,
26,38,
28,36,
